id,chall_neg,chall_pos,crit_neg,crit_pos,challange_d,crit_d,gender_1,age_1,iqms_avg,crms_avg,chms_avg,fms_avg,fsc_avg,crsc_avg,challengescenario_1
76453f8d-ac86-48a1-a982-0029708ca257,3.0703435385845794,3.4452178322831677,3.6070424497493287,3.74998475659234,-0.37487429369858827,-0.14294230684301112,2,19,5,4.75,5.5,4.75,4.5,5,2
cf4196e4-4a8d-4ea5-abc6-3c85a8cb2f79,3.610311891699053,4.2112470119149394,3.426824775547776,3.4656133885927227,-0.6009351202158864,-0.03878861304494663,1,18,3,4,4,3.5,4,4.5,2
fb4c52e7-7217-41fe-be4f-953b0a1397d3,4.92938525348682,5.175149125068943,4.767995484767927,5.052758506456541,-0.2457638715821231,-0.28476302168861345,1,23,3.5,4,4.5,3.25,2,3,1
3eb4ca05-da5c-4731-9140-e42d02167448,4.5642442292401135,4.579417380785111,4.281973534095415,4.346710167888978,-0.015173151544997765,-0.06473663379356331,1,21,5.5,5,6,4.5,4.5,5,2
121f3634-5d02-4c7f-af89-462319c9a137,7.213171603887586,7.031874808749913,6.4847192610979265,7.002666641570991,0.18129679513767272,-0.5179473804730641,1,20,5,2.75,3.25,2.75,3.5,4,1
4f69cea0-7da5-41a1-ad89-4dab76128177,4.941558087190488,4.072345042095809,4.1830586725372445,3.910187853508399,0.8692130450946793,0.27287081902884536,1,27,6,4.75,5,4.25,4.5,4.5,2
91fdb302-67e0-498e-96ee-2608d90ff0da,3.6743973502086793,3.8095977274863873,3.718112693084018,3.9973167263910323,-0.13520037727770795,-0.2792040333070145,1,21,5,4,4,4,5,4.5,2
1aa39a67-8c13-4dbe-8e74-2d1506f929dd,3.97537852824416,4.169308997301475,4.6462566571002775,3.5720956768222907,-0.19393046905731515,1.0741609802779868,1,22,2,4.75,5.25,4.75,4.5,4.5,2
aeb2339e-bf5b-41a1-8922-5e9a58f4fd94,4.903364869048693,4.730472398782034,4.84954242055892,4.523378986214334,0.17289247026665944,0.3261634343445854,1,20,4,3,4,2.75,2,2,1
7d36431c-6171-4889-8c80-e862e4d8c5d9,4.171442194837602,4.106912266239475,4.1989332720077295,4.151745153563963,0.06452992859812667,0.047188118443766136,1,22,5,4.5,5,2.75,3.5,3.5,1
08a0594f-6e20-4c07-b661-b5dce4f72289,4.1629379718776125,3.6753070291148475,3.7689235255799796,3.6723109082940852,0.487630942762765,0.09661261728589432,1,23,5,5.25,5.5,4.75,4.5,5,2
7c75421c-ac9a-4c13-a22a-849095766570,4.295058159774876,4.4250358705841615,4.554181098781693,4.440429359028795,-0.12997771080928544,0.11375173975289776,2,22,3,3.25,3,3.25,2,3.5,1
89c0b135-1474-4691-97bd-317919ddaa50,3.7818826012644005,3.497180882319074,3.5150228481449446,3.4083230383962477,0.2847017189453265,0.10669980974869686,1,21,6,2.75,4.5,3.25,4,4,1
3250ec40-a364-4425-a5d4-2610f2f5e8d5,4.242698206057527,4.506445919756407,4.573110665924874,4.638176172566407,-0.26374771369887995,-0.06506550664153288,1,19,4,4.75,3.75,4,3.5,3.5,1
ae903b2f-2fdd-47fd-b7e6-e1e355a35f55,3.432523066355663,3.8011965475881984,3.943855899913223,3.88956800493466,-0.3686734812325354,0.054287894978563234,1,24,3,3.75,4.5,3.75,3.5,3.5,2
b1b0aaa4-1ef2-4330-adfe-eac5ffc954d8,4.227236380587834,4.5102806299593645,4.484227527916197,4.41003579164028,-0.28304424937153083,0.07419173627591658,1,21,5,3.75,4.25,4,2,2,1
2c654e96-8131-43ba-aa9a-189d51e7f53c,4.907754387955098,4.468887330877508,5.054735408017035,4.756433851718562,0.4388670570775899,0.29830155629847344,1,18,4,4,4.5,4,3,2.5,1
f6e6253d-bfa3-4fc8-94b8-34adec37e909,2.756286577464416,3.764703429678112,3.1901928363417955,3.0735648913251814,-1.008416852213696,0.11662794501661411,1,23,6,3.25,4.25,4,2,3.5,1
cc30a54e-30f6-4645-96fa-469789721051,4.543921295849346,3.988823666016912,4.013613797519834,3.89854898794689,0.5550976298324342,0.11506480957294363,1,20,4,2.5,2.75,2,2,2,1
988fa8da-3490-4dc3-ba37-e1bf6558c6c6,3.801813002368872,4.502469051585226,3.8237725838329366,3.705628662497318,-0.7006560492163545,0.1181439213356188,1,20,5,4.25,4,2.75,4,4.5,1
2c612db5-f9ce-4955-a6a1-efbc7f9c418d,5.563030182646833,6.148124367211856,6.163672369585584,5.800364638634014,-0.5850941845650226,0.3633077309515702,1,22,5,4.5,4.25,3.5,3.5,4,1
91da5315-48dc-4304-a1cc-3b7b0830ec04,4.0695380286200304,3.891763450186188,3.3100503418280325,3.2936951081274985,0.17777457843384248,0.016355233700533933,1,21,5,4.75,4.25,3.25,4,4,1
7a172754-a2f3-49cc-9625-89fb5eed67f2,4.417083943519386,4.577761669244555,4.441496305162713,4.914716691375482,-0.16067772572516859,-0.47322038621276885,1,25,5,1.75,4,2.25,2,2,1
f2f284e9-1aa2-4770-bb24-d0f04ff38623,4.288108302289517,4.273057816010913,4.271761271284239,3.873277769624578,0.015050486278604502,0.39848350165966107,1,19,3.5,3.5,4.75,4.5,5,4,1
393c855c-10cf-4e26-8012-c15cd68907cb,5.086746580317253,4.804245441199984,4.432180125594077,4.476423533117551,0.2825011391172687,-0.044243407523473444,1,19,5,4,4.25,3.75,4.5,4,1
b4557826-8fe3-4b7f-bbf4-9cb3cac700b3,5.6093867882394886,5.840695670310122,6.235072434306331,6.580915463941856,-0.23130888207063371,-0.3458430296355246,1,20,6,4.25,5,4.75,4,4.5,1
190553e7-3639-4332-a9f4-48c83f70a8de,3.823638437775203,4.279624568067812,4.4792261896513645,3.7807576659331987,-0.45598613029260937,0.6984685237181658,1,20,6,4.25,5.25,3.5,2.5,4.5,1
3eddab8f-515c-41dd-bccf-879a3fbc6d8c,3.937633401976614,4.09088840362624,4.5742728759285205,3.924872286094223,-0.15325500164962547,0.6494005898342974,2,20,4,4.25,4.25,4.25,4.5,4.5,1
c01a5c66-8023-4178-a6a9-3b48620a26b5,4.2327532332796105,5.068439217979505,4.0306402753735195,3.9562583354032426,-0.8356859846998947,0.07438193997027698,2,27,6,4.5,5.5,4.25,4,4,2
94c94d1d-ba2b-466a-8db8-3ae5da821b1f,4.063208091222762,4.145657263971129,4.268741450326449,4.137943126082939,-0.08244917274836716,0.13079832424351068,1,23,6,4.25,3,3,1.5,4.5,1
df4448c8-9132-48bf-8584-c816ed7a12c4,4.56075155277672,3.934197798030739,3.8641492823323387,4.005784332147275,0.6265537547459812,-0.14163504981493658,1,23,6,3.25,5,2.75,1.5,3,2
d95e4d20-0649-4ab5-a4c7-34f3194154bd,4.813836368224611,4.625770710803556,4.834341969501049,4.727938179141329,0.1880656574210553,0.10640379035972014,1,20,5,4.25,4.75,4,3.5,3.5,1
3404d7a3-eaec-4a02-bfc1-efdefb39ed65,4.241593076333486,3.8284406227172094,4.027344473228904,4.11303621485141,0.4131524536162767,-0.08569174162250537,1,20,4,3.75,4.5,3,3.5,4,2
1d244ac9-7e46-4354-9e52-3f3c22faabd3,4.941829969179695,5.121917876238559,4.761701728882968,4.840472542429656,-0.1800879070588639,-0.07877081354668825,1,21,4,3.5,4.5,3.5,4,2,1
bec998cf-92d5-4e3d-9f0e-22ced308ec43,5.316977173478963,5.052005240714349,5.607213968067162,4.9970921402718025,0.26497193276461406,0.6101218277953597,1,23,5,5,5.5,3.25,3.5,4,1
c037d46b-c3d6-47df-a4d1-4d03d0a5329d,5.447615959741043,5.115536997095125,5.619992825847321,5.816033424297222,0.33207896264591774,-0.19604059844990118,1,28,3,3.25,5,3.5,2.5,2,1
32ebbe15-0ab5-4cfa-bd66-c5555070c752,4.017285951065078,3.613164797887519,3.611985273460334,3.3358520946942467,0.4041211531775586,0.27613317876608745,1,20,4.5,3.25,4,3.5,3,3,2
dd510bbe-fac7-4959-887d-5baaad787ebd,4.671511781637498,5.168631593384325,4.815176558689644,4.74577034272831,-0.4971198117468276,0.069406215961334,2,21,5,3.25,4.25,3.5,4.5,3,1
088c8443-2f24-4f84-8575-c95433678c6e,4.609485349478873,4.574894210910463,4.361371596429547,4.362473648633319,0.034591138568409896,-0.0011020522037723524,1,23,5,3,4.25,3.25,3.5,4,1
1c805c42-f503-49b3-9dd0-605b0ef1c4df,5.94992350877726,5.836316525002999,5.5669213176622145,6.021878080173769,0.11360698377426104,-0.4549567625115545,1,27,4,3.25,4.5,3.5,3.5,3.5,1
28b2cda0-7e10-4c8b-8245-a1673c8c16c0,4.278761454490001,4.858964177772794,4.414667200532771,4.834771581806578,-0.5802027232827935,-0.42010438127380656,1,23,4.5,3.25,4.5,3,2.5,4,2
fc5ca8e2-0902-4fc2-82e4-e3e3964a3c7f,3.1478537346360045,4.095836049558676,3.264196882856371,4.229696670273477,-0.9479823149226712,-0.9654997874171061,2,21,2.5,2.25,4.25,2,2,2,1
0077a838-afd1-4f54-bb24-2371d6067569,4.006226668610017,4.06010091955141,3.2465716622313696,3.797088328924676,-0.05387425094139342,-0.5505166666933063,1,21,5,4.25,4.75,3.25,2.5,2.5,1
46354f5c-6a57-4013-b8c3-05cfd4081d96,4.347435730288019,4.610732302285869,4.4106756533876865,4.3002341039354635,-0.2632965719978495,0.11044154945222306,1,21,4.5,4.25,5.5,4.75,3.5,4,2
13f4ddff-f354-4160-8b72-8d259bfbaacb,5.075868682396079,4.921844912079576,4.772628355641083,4.5121479222063625,0.1540237703165026,0.2604804334347204,1,22,4,2.75,4,2,4,4,1
1b40e86e-73bb-43a4-882d-691e06a088a2,4.48848018288777,4.05108942299914,3.8024581320248227,3.7883354245513954,0.43739075988862997,0.014122707473427365,1,19,4,3.25,4.5,3.25,2,4,2
